Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Kommentar
BRAND | Dr. Weiser | AT | P1,Kanzleiname,dr weiser rechtsanwalt,Exact,1.50,
BRAND | Dr. Weiser | AT | P1,Kanzleiname,kanzlei dr weiser,Exact,1.50,
BRAND | Dr. Weiser | AT | P1,Kanzleiname,drweiser,Exact,1.00,
BRAND | Dr. Weiser | AT | P1,Kanzleiname,drweiser at,Phrase,1.00,
BRAND | Dr. Weiser | AT | P1,Kanzleiname,anwaltskanzlei weiser wien,Phrase,1.50,
BRAND | Dr. Weiser | AT | P1,Personenname,dr martin weiser anwalt,Exact,1.50,
BRAND | Dr. Weiser | AT | P1,Personenname,martin weiser rechtsanwalt wien,Exact,1.50,
BRAND | Dr. Weiser | AT | P1,Personenname,rechtsanwalt weiser wien,Phrase,1.50,
BRAND | Dr. Weiser | AT | P1,Personenname,dr weiser landstraßer hauptstraße,Phrase,1.00,
BRAND | Dr. Weiser | AT | P1,Personenname,weiser anwalt 1030 wien,Phrase,1.50,
